Domain,TypingDifficult,CharacterFrequent
sauyxsjmubqmdjtrdm.com,76.9090909090909,3.9536363636363636
twaktrgbfvpss3.com,67.94444444444444,3.835555555555556
nictodlrftqinl.com,58.888888888888886,5.025555555555556
fowadkrecubcnspk86.com,78.0,4.288181818181817
vtoxfaxfcpyx.com,65.8125,3.8581250000000002
ojhpiwdmmyxneo88.com,72.0,4.261
xqxvkmetnaqvmuz7w.com,82.95238095238095,3.3680952380952385
epdajrggoxrnnvus2.com,76.95238095238095,4.322380952380952
gmilqkfloyejo.com,54.88235294117647,4.605882352941176
owuudqrweqlkb.com,51.88235294117647,3.8629411764705885
xgxhpyfwlrxdw.com,68.88235294117646,2.868235294117647
qdizbnwpcofunw.com,60.77777777777778,3.914444444444445
atjmkyecpi3v.com,58.9375,4.34375
tiwdnenrzdkbqb.com,61.888888888888886,3.9422222222222225
lfswglhfjxtlxi.com,70.88888888888889,3.3605555555555555
qfsxgmdyqzxsqrdf.com,77.9,2.9805
jiaucwfenmncjlqjc7.com,81.95454545454545,4.193636363636363
uutkxxszzldshvqi.com,82.9,3.1985
wcjjxdnojexmjkmn.com,77.9,3.9440000000000004
cdxlspjgbkaqo.com,65.88235294117646,4.044117647058823
dhzvcaduouixfl.com,65.88888888888889,4.112777777777778
zogfrpletwxduk.com,62.888888888888886,3.988888888888889
ykihjkrpnmtq.com,56.875,3.8131250000000003
xmykwjcaieovg8d.com,71.94736842105263,4.123157894736842
igyyqllabqjska.com,64.88888888888889,3.630555555555556
bxerjrdpout4k.com,59.94117647058823,4.194705882352942
hrggqfmvdybm.com,56.875,3.5868750000000005
mfxfdoehtnrpetpq.com,64.9,4.497
ctoqqrvtrycpnad.com,66.89473684210526,4.737368421052631
dwrrqkefelm4k.com,57.94117647058823,4.098235294117647
nehjbjkjvkfjw49.com,77.0,2.5573684210526317
gztfnziiued9.com,55.9375,3.9693750000000003
eegjbcmiewrgwvbaxp.com,76.9090909090909,4.293636363636363
olyowkwfjgtk.com,54.875,3.9318750000000002
iaikxwipkzuen.com,58.88235294117647,4.175294117647059
lndjstqdbvnkjymng.com,78.9047619047619,3.5100000000000002
renhnlfqwphhjn3c.com,76.95,3.7440000000000007
walftmxwdglxjm.com,66.88888888888889,3.650555555555555
avuwzdtwpyy6i.com,53.94117647058823,3.2735294117647062
jgoozashtsrbgje.com,68.89473684210526,4.749999999999999
ysgqethljpnvxz.com,71.88888888888889,3.411666666666667
zfxsfjtuxbwwy.com,66.88235294117646,2.7352941176470593
zrcsapithdsc.com,62.875,4.9731250000000005
mzyviciisazuomj.com,67.84210526315789,4.707368421052632
geyfvvucfbbqjfibr.com,73.9047619047619,3.3152380952380947
csknstpyoskmsfik.com,77.85,4.646
wglunablfwoz4t.com,63.94444444444444,3.8827777777777777
okbhlifjhmlipxd1h.com,78.9047619047619,3.624761904761905
uzkgpcfrphvltx.com,71.88888888888889,3.4922222222222223
hkctjwvppnqxs.com,68.88235294117646,3.375294117647059
ivkqfykamfpqh.com,59.88235294117647,3.2517647058823536
pgyadsukrabc.com,57.875,4.443125
dsdlkbuzlnmv7.com,66.94117647058823,3.607647058823529
imymzxvqvqqhbi.com,67.83333333333333,3.1383333333333336
byieawirsiatdxtd8.com,70.9047619047619,4.49
ayoothayljnzcacj8t.com,84.9090909090909,4.738636363636363
axrlvrmwmks4j.com,66.94117647058823,4.0458823529411765
