Domain,TypingDifficult,CharacterFrequent
wedding-muscle.com,61.94444444444444,4.711666666666667
campaign-enhance.com,72.95,5.468
occasion-limited.com,67.95,5.943999999999999
board-care-bedroom.com,72.9090909090909,5.733636363636363
essaydiscount.com,58.8235294117647,5.518823529411765
bell-bath-freedom.com,71.95238095238095,4.824285714285715
relative-feature.com,60.85,5.371
music-care-requirement.com,85.92307692307692,5.439230769230769
referenceinvolved.com,66.85714285714286,5.620952380952382
passenger-stop.com,62.94444444444444,5.342222222222222
borderspot-doctor.com,67.9047619047619,5.857619047619048
trick-part-park.com,69.73684210526316,4.650526315789474
peoplefix-novel.com,63.94736842105263,4.971578947368421
grocery-apologize.com,70.95238095238095,5.48095238095238
databasecoast.com,57.76470588235294,6.008235294117647
engineer-allow.com,57.94444444444444,5.445555555555555
bone-pipe-section.com,70.9047619047619,5.464761904761905
friend-express.com,62.94444444444444,4.886666666666667
commentmarch.com,55.6875,6.239375000000001
breath-go-indication.com,81.95833333333333,5.293333333333333
receptionexpand.com,61.89473684210526,5.601578947368421
diet-pressure.com,53.88235294117647,5.251764705882353
husband-judge.com,59.94117647058823,3.9711764705882358
accident-experienced.com,83.91666666666667,5.540416666666666
half-would-coat.com,67.94736842105263,4.700526315789474
impression-remaining.com,76.875,5.6237499999999985
childconfirm.com,55.8125,5.398125
difference-craft.com,66.95,5.1884999999999994
definition-bone.com,57.89473684210526,5.457894736842104
clock-land-market.com,81.0,5.11047619047619
purple-option.com,51.94117647058823,5.208235294117648
article-discount.com,68.9,5.5489999999999995
growthdance-two.com,64.94736842105263,5.095789473684211
average-black.com,62.94117647058823,5.014705882352941
wavestar-thanks.com,70.94736842105263,4.7710526315789465
view-pitch-bowl.com,69.0,4.21578947368421
golf-rain-ship.com,65.0,4.55
park-guy-path.com,62.94117647058823,3.848823529411764
pleasurestage.com,53.88235294117647,5.556470588235293
capital-express.com,69.94736842105263,5.144210526315789
exam-cancel-software.com,89.0,5.353749999999999
culture-hold.com,54.9375,4.9331249999999995
specialist-interested.com,82.88,5.527200000000001
house-relax-list.com,74.0,4.922499999999999
earfish-smoke.com,58.94117647058823,5.314117647058824
credit-travel.com,57.94117647058823,5.2947058823529405
fundeal-award.com,54.94117647058823,4.641764705882353
trade-bill-shoulder.com,78.95652173913044,4.790000000000001
slice-site-medicine.com,79.91304347826087,5.520434782608695
grandfather-obtain.com,72.95454545454545,5.09590909090909
practicefinance.com,64.84210526315789,5.846315789473684
hope-copy-yard.com,64.88888888888889,4.743888888888889
expertlip-pace.com,61.94444444444444,5.041111111111111
piano-season.com,53.9375,5.936875
bathroominterested.com,66.81818181818181,5.951818181818182
dust-bath-market.com,72.0,4.5665000000000004
trainertree-wave.com,61.9,5.563000000000001
heat-landscape.com,64.94444444444444,5.262222222222222
programreveal.com,52.88235294117647,5.74764705882353
player-season.com,58.94117647058823,5.484705882352941
saletwist-extension.com,79.95652173913044,5.343043478260869
nail-heat-shock.com,74.0,4.985263157894736
combinationmatter.com,64.71428571428571,6.214285714285714
slice-bath-click.com,81.85,4.8145
movieshine-bother.com,69.95238095238095,5.448095238095239
duty-reduce-clock.com,77.95238095238095,4.821428571428571
day-confirm-balance.com,83.95652173913044,5.117826086956521
slice-implement.com,63.94736842105263,5.508421052631578
lessonchair-structure.com,88.96,5.5132
till-board-evening.com,76.0,4.850909090909091
research-burn.com,60.94117647058823,5.264705882352941
difference-boss.com,64.94736842105263,5.2368421052631575
question-lecture.com,63.95,5.368
friend-sell-letter.com,74.0,5.03
value-muscle.com,56.9375,5.0287500000000005
quarter-cow-material.com,77.83333333333333,5.3187500000000005
knee-matter-literature.com,81.84615384615384,5.4980769230769235
shower-borrow.com,55.88235294117647,5.3870588235294115
field-room-friend.com,65.9047619047619,5.13
maximum-remain.com,58.888888888888886,5.415
clerknose-meaning.com,73.95238095238095,5.629999999999999
engineer-drive.com,56.94444444444444,5.308333333333334
conference-reveal.com,71.85714285714286,5.88
earth-flow-candle.com,75.0,4.910952380952382
opening-smoke.com,56.94117647058823,5.515294117647059
medicine-commit.com,61.78947368421053,5.957894736842104
airroof-oilpace.com,58.94736842105263,6.039999999999999
drawer-discount.com,62.89473684210526,5.19842105263158
bosswin-caserange.com,75.95238095238095,5.425238095238096
art-blame-ability.com,72.0,4.831428571428572
blame-progress.com,61.94444444444444,5.367777777777778
radio-range-duty.com,65.95,4.856
nativebuild-brush.com,71.95238095238095,4.37047619047619
title-fill-understanding.com,93.96428571428571,4.664999999999999
groupcatch-beer.com,66.94736842105263,5.285263157894737
day-emphasize.com,59.94117647058823,4.723529411764707
snowclock-sentence.com,83.9090909090909,5.736818181818181
land-gather-source.com,79.0,5.158181818181818
trainertest-partner.com,72.78260869565217,5.669130434782608
amount-site-source.com,73.9090909090909,5.674090909090909
plane-judge-conference.com,89.92307692307692,5.1173076923076914
heat-realize.com,53.875,5.3425
packstage-daughter.com,77.95454545454545,4.826363636363637
difference-quote.com,60.95,5.168
windowthrow-bathroom.com,76.66666666666667,5.1137500000000005
drop-man-television.com,77.0,5.321739130434781
contactcatch.com,62.75,6.158750000000001
example-string.com,63.94444444444444,4.984999999999999
network-avoid.com,55.94117647058823,5.151176470588235
