Domain,TypingDifficult,CharacterFrequent
usyeeusiuaaayscg.org,63.8,4.8725000000000005
cesogcsecqkcamgs.org,77.9,5.3865
mysywqauaegqoceu.org,61.9,4.4515
mysikawwuggseumg.org,64.9,3.9850000000000003
aawaqymemeuwwyqo.org,56.85,4.338
gmwoiomwuymwkgga.org,60.8,4.2985
qkmykaguykyismmc.org,71.85,3.8055000000000008
yasaeomqcqoowsgk.org,65.9,5.0365
eiwcsqqkasqyykmi.org,68.85,3.7685000000000004
aeiakcmcigayqkum.org,66.9,4.772500000000001
qgmkaeqqoucumiui.org,57.9,4.39
eimmaiougsmemisq.org,56.9,5.4765
kygcoqgykagkwcgi.org,74.9,3.6485000000000007
sockmiimqyeyaiqy.org,63.85,4.551
uowgugsysycoqeqs.org,66.85,4.1705
usawusyyuuaussau.org,62.7,4.076500000000001
aaaaaaycsqmgqgag.org,63.55,4.755000000000001
ywuquiqykswgawic.org,64.9,3.229
ususywyckwsoickk.org,74.8,3.931000000000001
somyygwumcyoqwqy.org,65.9,3.7995000000000005
kyoyiuuscmyamaii.org,62.9,4.793
qkqsooeqwykwwuqk.org,63.85,3.1874999999999996
aemaoswcmumeoyci.org,61.9,5.881500000000001
usmowckyuikqaiqa.org,63.85,4.201500000000001
qgguiuqsmosmsiyk.org,64.85,4.085500000000001
cigaceicwywamqsm.org,68.9,4.8255
kuwmeqwyoqwcgsso.org,65.85,4.0680000000000005
yweomsuawkaieiek.org,58.85,4.9165
myqkooiamygqwgki.org,62.85,4.059500000000001
qgweuiaqiuocioci.org,56.75,5.004
ceiwcqwwmgmsmoii.org,62.9,4.8545
cigoqaakuioekssc.org,67.9,5.247
eiwcysskugiuukwe.org,64.9,4.0205
gmcmuamcuiwoqyee.org,60.85,5.040500000000001
skeqwscegwmyqcag.org,71.9,4.0835
ogkyimmwoiwwocyi.org,60.8,4.735999999999999
usakogkkuqeakmea.org,64.8,4.569999999999999
kuyyeyyqukooskaq.org,65.85,3.7235000000000005
aeqkgyucouqyoqmq.org,61.9,3.992
wsyssmewkocygkkq.org,74.9,3.8305000000000007
ywkiywieioqmucmg.org,60.85,4.231000000000001
qggmkimswuccyiuc.org,70.85,4.1665
qgwckaegecgwiggc.org,71.85,4.1765
iqmiogawigyeukgy.org,59.85,4.105
wwswcckmskieyqms.org,73.85,4.072000000000001
