Domain,TypingDifficult,CharacterFrequent
migrationispeopleofof.biz,72.84,5.207199999999998
ofhonorcommontruthslarge.biz,91.89285714285714,5.417142857142857
itsmeantimeeffectand.cn,72.82608695652173,5.436086956521739
theirincapableasthebeen.biz,89.81481481481481,4.948518518518518
uspetitionedrefusing.com,70.83333333333333,5.245
quarteringsufferance.com,74.875,5.152500000000001
safetyforthathasallthem.net,89.70370370370371,4.9403703703703705
underpeoplecausesevery.biz,82.84615384615384,4.888076923076923
oftoamountisthethein.ru,66.78260869565217,5.397391304347826
stateourfullowngoodscarcely.com,101.93548387096774,5.541612903225806
offreeofdestructiveof.biz,74.76,4.901199999999999
entitlefriendstheain.ru,67.8695652173913,5.068260869565218
peoplefromstatesjuly.ru,68.91304347826087,4.85217391304348
settlement1776righthe.ru,79.08333333333333,4.173749999999999
arewarlawsrepresentation.ru,79.81481481481481,5.474074074074074
paralleledinofficesgovernment.com,104.9090909090909,5.53
toaunusualinsystemsthe.com,85.88461538461539,5.299230769230769
statesinvasionsatbands.ru,84.84,5.1572000000000005
welibertytotallyalone.net,75.84,5.1832
separatetoandevinces.com,77.91666666666667,5.921250000000001
circumstancestheirthis.biz,93.8076923076923,5.035
ourtransportingdisposed.ru,77.76923076923077,5.201538461538461
necessaryhastheiralter.ru,83.92,5.308
toofforcaseshighitto.ru,71.82608695652173,5.377391304347825
declareallweandrectitude.ru,81.77777777777777,5.208518518518518
themredresscoloniestheir.com,90.71428571428571,5.978928571428571
oftrialtrialacircumstances.cn,99.6896551724138,5.658275862068965
repeatedofsufferaccommodation.ru,92.90625,5.6853125
thisfriendsthethatthe.cn,82.70833333333333,4.734166666666666
armiesstatesworldofwith.com,84.88888888888889,5.411481481481481
ofandatseemwhichtolarge.net,85.92592592592592,5.335925925925926
invariablyanyourrequires.biz,87.89285714285714,4.556785714285714
refusedgovernmentsought.cn,84.92307692307692,5.028846153846154
fromconnectedaunited.biz,75.79166666666667,5.273749999999999
offorbyintheandwhenwar.net,80.88461538461539,4.648461538461539
towhenremindedmercenaries.ru,82.89285714285714,5.58892857142857
formidableforeignthe.net,69.79166666666667,5.19625
ofconstitutionpowers.biz,74.83333333333333,5.195833333333332
ofarenothathtotimesformidable.com,99.87878787878788,5.787878787878788
inintohistoryannihilation.net,89.79310344827586,5.446551724137931
toinrightsstatestoinjury.cn,89.70370370370371,5.071111111111111
theirofhasthethehisbe.com,83.68,5.1556
protectingincapablehe.ru,76.875,5.175
