Domain,TypingDifficult,CharacterFrequent
xuconvvoonqr.us,53.8,4.489999999999999
jmbjexqrvrqn.pw,52.86666666666667,2.630666666666666
nvfowikhevmy.net,53.875,3.900625
cdbbyhofjxdi.pw,54.86666666666667,2.7439999999999998
sjhuqlwrqhqx.net,57.875,2.6525
xxhkswdlksuf.pw,61.8,2.094
pyjeufkvmjkn.org,54.875,3.1656249999999995
pxqgonyogeee.com,50.8125,5.08625
rrcdqqevvmvo.us,51.86666666666667,3.854
umrrlcdgfedg.club,57.8235294117647,3.9747058823529415
gllcsbqrbfch.com,63.875,4.155
hkgjjokkwodt.com,57.875,3.879375
oykjietwrmlw.ru,44.86666666666667,3.944666666666666
jyxqfghympqu.com,57.875,2.785
oqckhpiyqqll.in,51.86666666666667,3.2700000000000005
oqxvkgnpxhyi.net,61.875,3.1712499999999997
jjnehudfmclq.com,55.875,3.9743749999999998
hpvrbbkommmm.pw,48.666666666666664,3.7286666666666672
veqxuhibgttq.xyz,61.875,2.345625
xgrhuccfyyyv.net,62.8125,3.2693749999999997
gmedxpwnvgjb.pw,53.8,2.498666666666666
ogwcjypfehdw.net,52.875,3.5956249999999996
hieffvbcjitc.com,57.875,4.3931249999999995
upfvslonpoff.us,47.86666666666667,3.6879999999999997
mrroqupifvmr.biz,48.8125,3.92875
fckjmggtxchv.com,67.875,3.7875
pneidxmfmcpe.ru,47.86666666666667,4.307333333333333
gotmnoxdlmqy.com,54.875,4.829375000000001
lsnuwgkjbubr.com,56.875,3.67625
jmtkcbjfrnwp.com,57.875,3.88625
forqxfpphptt.net,51.875,3.5793749999999998
bkjciirqpmrs.com,55.875,4.500625
xpphhrrswsxh.club,71.88235294117646,3.01
uuuutebcdtgh.com,48.6875,4.359375
hcbdceyvftuf.com,58.875,4.085
mmlprilinqqv.us,47.86666666666667,3.6593333333333335
dkjihomipmnt.xyz,57.875,3.4812499999999997
htbrcbnmhqbd.pw,54.86666666666667,3.068666666666666
hpyjdllclmjw.ru,53.86666666666667,2.9493333333333327
rehxhppxujko.net,58.875,3.5556249999999996
kglydddmwwxv.com,58.8125,3.14
ejddgfnoyhnn.com,54.875,4.329374999999999
lwwlbbgowmth.biz,55.875,3.0624999999999996
oovsccucdqjj.com,60.875,4.8525
fcderreiptcc.xyz,60.875,4.293125
wiybyqhyjsty.club,62.88235294117647,2.506470588235294
dkrvosdssglm.com,59.875,4.718750000000001
jedsotqkhiiu.com,50.875,4.55375
eeyrjqmuwvdq.xyz,55.875,2.5043749999999996
bbrrqphmdtls.com,55.875,4.215624999999999
kcbcdbpsbmuf.com,60.875,4.13
oqgoossekhir.ru,46.86666666666667,5.011333333333335
ddqmqhovyxbg.com,58.875,3.42
ovbcdqqmbhoo.com,54.875,4.826875
tlbcneltvjgg.pw,54.86666666666667,3.324666666666666
eipevlwdedck.us,48.86666666666667,3.986
tuumuorqgvwg.com,48.875,4.180625
cppwsolhkcis.com,61.875,4.80625
nonehgdemxxw.com,58.875,4.665
niursdelppbp.com,50.875,4.515625
bghqqyeepkot.com,52.875,4.150625
djvuursktxrq.com,57.875,3.630625
sugoovbcgbct.pw,54.8,4.060666666666666
dccffgttisty.com,57.875,4.5575
imqlxttnymmy.in,50.86666666666667,3.8573333333333335
lpppwvulmrop.com,49.8125,4.2837499999999995
bbsgdsbwobbn.com,58.8125,4.067499999999999
mnetyjfnrolx.xyz,61.875,3.4543749999999998
gduyqurrrrmi.xyz,51.6875,3.178125
kdokruvnkkoq.com,56.875,4.221875
xttumqsgbswj.com,58.875,3.735
jiyfgpmknkkj.com,58.875,3.3256249999999996
gcdhgdqbolsb.com,59.875,4.12125
ggfujvjslmri.com,55.875,3.843125
xdcstofrqixf.us,55.86666666666667,3.5813333333333333
ttwefowwdyyy.in,43.8,3.313333333333333
hqogjiujstsf.in,49.86666666666667,3.4426666666666668
dldgeddsrqlg.com,53.875,4.11625
kkgtgtemlkbb.com,58.8125,4.07625
ffkbtpqyuyyl.xyz,60.875,1.6825000000000003
gopkxwttdoiu.com,51.875,4.56625
lkopwdujvkko.com,55.8125,3.90875
yyqyhyviycru.in,53.86666666666667,2.806666666666666
rfylptbbipqh.pw,48.86666666666667,2.5326666666666666
ooltunrmtrmy.com,48.8125,5.741875
ulpuqvvvyxyy.ru,53.8,1.9353333333333333
inbmusggvvip.org,53.875,3.8012499999999996
bdcbndgedlyq.com,56.875,3.95125
vvipxuntvorj.club,62.88235294117647,3.393529411764706
ocggbyonqtun.in,49.86666666666667,4.294
dlohcvfyiqjx.com,60.875,3.7243749999999998
nkvvsswwwksi.net,59.8125,3.270625
mexwrdvcyvbi.xyz,65.875,2.8074999999999997
udehrydmrkdt.net,49.875,4.08375
xleemvnmujij.org,52.875,4.181875
xejxdossgcju.us,59.86666666666667,3.5453333333333332
vjnidkbbxcjk.net,63.875,3.0062499999999996
finnrvosdnnv.pw,51.8,3.785333333333333
trbvvggophhk.club,65.88235294117646,3.191176470588235
mlmnklrdcyhw.com,59.875,4.399375
bnyyvomtcpcg.com,60.8125,4.66875
rhqrbskdfuuc.com,56.875,3.959375
fifvrooenyri.us,43.86666666666667,4.648
kjopmmvqqhlo.com,54.875,4.243125
tpgfgdkwvfgt.us,51.8,2.4586666666666663
qctkkfgwsodl.pw,53.86666666666667,3.012
tuupiyyjnuyh.net,49.875,3.228125
gnilrrcnduts.com,55.875,5.039375
itcsrmnknqpo.net,53.875,4.865625
imtlmqvwrmjk.com,53.875,4.206875
vkkwwduvvyio.biz,57.875,2.4506249999999996
bcbhkemeumnu.net,52.875,4.5112499999999995
glilknnnmgkk.biz,60.8125,3.280625
uimdvxsbcgfn.pw,55.86666666666667,3.0413333333333328
llsxlhyvlskk.com,69.8125,3.5725000000000002
cffjmlobgqbw.us,51.86666666666667,3.0699999999999994
ltxqdnwiijby.net,53.875,3.2268749999999997
cjfolmvfcwjt.com,58.875,4.284999999999999
xkkbuehfebkt.pw,54.86666666666667,2.647333333333333
hhdkfdcbqbbj.com,61.875,3.08625
dgdvsssjyslo.club,65.82352941176471,3.588235294117647
jmoiulccnnkw.club,62.88235294117647,4.235882352941176
etqksscpvcpc.com,64.8125,4.728125000000001
mpccrymlfkjh.biz,62.875,3.3724999999999996
