Domain,TypingDifficult,CharacterFrequent
jeiceabeigo.kz,45.785714285714285,4.727142857142857
jeareteheohux.com,54.88235294117647,5.368235294117647
kugluralope.kz,46.857142857142854,3.799285714285715
mupahildatsoz.kz,56.875,3.950625
wediljufobil.kz,47.8,3.3073333333333332
gupnirwifowoq.com,48.88235294117647,4.544117647058823
suhilvuxbujoz.kz,62.875,2.6512499999999997
dokjeofuxhil.kz,53.86666666666667,3.4039999999999995
kuglaxuleape.kz,53.86666666666667,3.5
girtovilavea.com,50.875,5.418125
peaqeameodat.kz,44.8,4.9193333333333324
gasozrinirbi.com,52.875,5.311249999999999
qikalozficsu.com,55.875,4.663125000000001
qupfogakirgir.kz,51.8125,3.4881249999999997
haweasameaqaf.kz,53.8125,4.315624999999999
sokovokwuba.com,50.8,5.0633333333333335
wanrughatcu.kz,50.857142857142854,3.6278571428571427
dukeofupxaf.com,47.86666666666667,4.277333333333333
lusolipathat.com,51.8125,5.258749999999999
gihilqixifoz.kz,54.86666666666667,3.05
xirtajeiceo.kz,48.857142857142854,4.684285714285714
jeajajoxoleo.kz,51.8,4.521333333333333
cantugfilha.com,51.86666666666667,4.8773333333333335
rilqinafcic.kz,50.857142857142854,4.059285714285715
datkugwufogup.com,51.88235294117647,4.017647058823529
nubebidafnei.com,47.875,4.930000000000001
coqvodulaku.kz,49.857142857142854,3.685714285714286
gupjoruluro.kz,43.857142857142854,3.7385714285714284
bobuluxleahug.com,57.88235294117647,4.361176470588235
wociheimufeo.kz,46.86666666666667,4.668666666666666
viljadupozlu.kz,52.86666666666667,3.058666666666667
xeobozlodaga.com,54.875,5.48375
micleoluloz.com,49.86666666666667,5.721333333333333
xeixipilpic.kz,52.785714285714285,3.543571428571429
peijubarikaf.com,48.875,4.602500000000001
lilfuxdugdir.com,51.875,4.00875
dokjuxqamuxaf.com,59.8235294117647,3.934705882352941
tearopibiteo.kz,43.8,5.1613333333333316
qoqfeapehibeo.com,48.88235294117647,5.187058823529412
cicbiseitosic.kz,59.8125,5.098124999999999
neawoqjuvafo.kz,48.86666666666667,3.7460000000000004
sotafmeatawoz.kz,53.8125,4.7487499999999985
futimafsicpu.kz,49.86666666666667,3.6860000000000004
xokhopemangug.kz,58.875,3.9162500000000002
xiruxsupmup.com,51.8,4.094666666666667
batfeolopil.kz,44.857142857142854,4.407857142857143
nocicpuxsoz.com,57.86666666666667,5.340000000000001
muprovawifi.com,43.86666666666667,4.878
dekumaftefoz.kz,49.86666666666667,3.7886666666666664
weinugmeotug.kz,45.8,4.118666666666666
tupposeihok.kz,46.857142857142854,4.11
kokdirrugvux.com,55.875,4.178125
qicpecupdea.kz,47.857142857142854,3.9600000000000004
tajantatagu.kz,47.714285714285715,4.05
numaweicutir.kz,47.86666666666667,4.331333333333332
morucogakaf.kz,48.857142857142854,4.565
heisasasiqoq.kz,52.666666666666664,4.220000000000001
rodeahoxarug.com,51.875,5.5125
wupicmeoniru.com,46.875,5.414999999999999
tofiviljagup.kz,49.86666666666667,3.356666666666667
picmoqhakidug.kz,55.875,3.63125
qibeguphaci.com,48.86666666666667,4.592
goqnokfuxsi.com,51.86666666666667,4.550666666666667
wanhugdirxug.kz,54.8,2.8453333333333335
lufilrilcan.kz,49.785714285714285,3.906428571428571
jozqeakoknea.kz,53.8,4.086
lukeirukaseo.kz,49.8,4.313333333333333
weisozdehea.com,47.86666666666667,5.4206666666666665
qeohinofilgu.kz,47.86666666666667,3.952
buleojangea.com,46.86666666666667,5.346000000000001
xoqceabilteo.com,52.875,5.68625
leokirohopu.com,44.86666666666667,5.744
vifilxafgei.kz,49.857142857142854,3.187857142857143
pubanmonucea.kz,50.86666666666667,4.5393333333333326
dexulifuxnu.com,50.86666666666667,3.989333333333333
lilihatbangu.com,52.8125,4.7775
kaludohodeo.kz,45.857142857142854,4.497857142857143
coqrilatwitu.kz,48.86666666666667,4.137333333333333
kideadirduka.com,48.875,4.80625
kipumafbomea.kz,47.86666666666667,4.186000000000001
faseiqeinunu.com,46.75,5.0225
cupfutaxifo.com,48.86666666666667,4.671333333333333
leodeataqahux.com,54.88235294117647,5.168823529411765
tesodokhugreo.kz,52.875,4.746874999999999
heaneoceonir.com,49.8125,6.579375000000001
qeikugcijux.com,51.86666666666667,4.042
seonifoleafil.com,50.88235294117647,5.7947058823529405
koqgalucofei.com,50.8125,5.22
canlikeowuqo.com,50.875,5.364374999999999
ruxdilmozcu.kz,52.857142857142854,3.6292857142857144
bifeakiqafhil.kz,53.875,3.340625
vuxrokdejatu.kz,53.86666666666667,3.361333333333333
mihaxurirpic.com,53.875,5.063125
headepefozxi.com,52.875,4.9675
nacoqcolatril.kz,57.8125,5.025624999999999
mukitohoqojux.com,54.88235294117647,4.785882352941176
dekicirdijeo.kz,48.86666666666667,4.359333333333333
xokjicwicnea.com,58.8125,5.149375
manhokjeonu.kz,48.857142857142854,4.319285714285714
seinavilkea.com,49.86666666666667,5.432
moruxtoqjoci.kz,51.86666666666667,4.439999999999999
foboxokmica.com,51.86666666666667,5.678
keigapicmeo.kz,46.857142857142854,4.720714285714285
micneoxoqmeo.kz,50.8,5.275333333333332
mutirqohoqu.com,42.86666666666667,5.006
veadilbeoko.kz,46.857142857142854,4.428571428571429
mohobanmuppo.com,48.875,5.64875
janlatxipoli.kz,53.86666666666667,3.9386666666666668
huxrirninosa.kz,54.86666666666667,4.226666666666667
nafgohurego.kz,46.785714285714285,4.235
xifozjuppux.kz,53.857142857142854,2.282142857142857
hatsiqicwagi.com,53.875,4.8475
rilgosicxug.kz,53.857142857142854,3.8471428571428574
webansisopi.kz,47.857142857142854,4.235714285714286
womanmiclux.kz,51.857142857142854,4.1378571428571425
lokmafcansa.kz,53.857142857142854,4.5442857142857145
tavilgafgea.kz,48.857142857142854,3.7935714285714286
hugvudaffil.com,48.86666666666667,3.790666666666667
vugupnuludo.com,45.86666666666667,4.197333333333334
jupbuxvealo.kz,50.857142857142854,3.1028571428571428
juxeoqoqpoz.kz,48.785714285714285,3.382142857142857
jangeivuxde.kz,50.857142857142854,3.2614285714285716
dusuprirmosu.kz,47.8,4.037333333333334
jamanganibux.kz,55.8,3.5766666666666667
juxfukaflux.com,54.8,3.254
qeakeiqirrug.kz,46.86666666666667,3.7006666666666663
toqsanafxawoz.kz,59.875,3.890625
cabozvatfux.kz,56.857142857142854,3.358571428571428
billatafteo.kz,45.857142857142854,4.3878571428571425
geiwicwozki.com,49.86666666666667,4.7940000000000005
towanruxdaf.com,48.86666666666667,4.8213333333333335
jicveilearir.com,50.875,5.499375000000001
beicuppedir.com,44.86666666666667,5.0906666666666665
wukokxuqoqlei.kz,54.875,3.145625
wohaxihokseo.com,55.875,5.40125
moqgeakitir.kz,44.857142857142854,4.289285714285715
pozsawidudeo.com,48.875,5.10625
sadaneokileo.kz,49.8,5.073333333333333
beinafbutuqa.kz,47.86666666666667,3.436
wanhugneihei.kz,50.8,3.7813333333333334
fahokdafsan.kz,51.857142857142854,3.7392857142857143
sozwipuxdir.kz,50.857142857142854,3.2014285714285715
beikivuhatkeo.com,54.88235294117647,4.947647058823529
jivoriwearil.com,47.8125,5.25375
kajiruxkafpea.kz,57.8125,3.345
nureotageaxok.kz,54.875,4.731874999999999
janwichifux.com,53.86666666666667,4.144666666666667
cipurugpanea.kz,49.86666666666667,4.077999999999999
rugkeagoqdu.com,45.86666666666667,4.632666666666666
kakavixeosi.kz,53.785714285714285,3.9492857142857143
roqirmozlux.kz,49.857142857142854,3.8835714285714285
geiqatugbok.kz,46.857142857142854,3.5264285714285717
tefipiguwina.com,45.875,4.739375
wantirvadug.com,47.86666666666667,4.6419999999999995
tirfasozfux.kz,51.857142857142854,3.424285714285715
jearatweapu.com,43.8,5.23
patveilajira.kz,49.86666666666667,4.112666666666667
wupsipiccamu.kz,52.86666666666667,3.861333333333334
meofaradopu.kz,41.857142857142854,4.715714285714285
dearatupdomaf.com,48.8235294117647,5.427058823529412
qugubanxari.com,49.86666666666667,4.356666666666667
duwozxeivei.kz,48.785714285714285,3.433571428571429
cirlozfilat.kz,50.857142857142854,4.186428571428571
keafuxleibei.kz,50.8,3.761333333333333
leonirirnuvi.kz,47.8,4.487999999999999
teaceitepat.com,44.8,6.137333333333333
lozbeisozrux.com,57.8125,4.9325
doreoqaxeora.com,47.75,6.185625000000001
tavilhohoxa.kz,53.785714285714285,4.054285714285714
rovinatfudok.com,49.875,5.139375
wuplujeagic.com,47.86666666666667,4.479333333333333
vilxafheonu.com,51.86666666666667,4.735333333333333
hanoxugceipu.kz,54.86666666666667,3.8773333333333335
jupbolihufeo.com,47.875,4.70625
beowoztaviqeo.kz,51.8125,4.428749999999999
heogobokvadug.kz,55.875,4.017499999999999
hotaflutahu.kz,47.785714285714285,3.7028571428571424
lozdokxoqtea.kz,54.86666666666667,4.112666666666667
caqobeosoga.com,48.86666666666667,6.164666666666666
xacapatmocoq.com,56.8125,5.844375
feavililjan.kz,48.785714285714285,3.657142857142857
heoneogilok.com,46.8,5.999333333333333
lozhakirhoki.com,56.8125,4.975625000000001
biljuptafcan.com,53.875,4.6068750000000005
mukiheibanmi.kz,49.86666666666667,4.022666666666667
kofupveijisa.com,50.875,4.675625
cadircacupni.kz,55.8,4.532666666666666
bumankafxixu.com,57.875,4.1499999999999995
rulupozjali.kz,47.857142857142854,3.4385714285714286
geirireodokir.com,47.76470588235294,5.950588235294117
nuvanokajaqa.com,53.875,4.876875
dugsuxrirxi.com,52.86666666666667,4.266666666666667
sicaftugveo.kz,49.857142857142854,4.14
wajeisoznimoz.kz,56.8125,4.224374999999999
siminokfickoq.com,56.88235294117647,5.220000000000001
jumafgoqqaku.com,49.875,4.11125
buxkixugahok.kz,60.86666666666667,2.746666666666667
teopeanokja.com,45.86666666666667,5.875333333333333
qicfaxeojea.kz,49.857142857142854,4.083571428571429
fuxmuxutirveo.kz,55.8125,3.4725
pilleocojikir.com,53.8235294117647,5.522941176470589
reolitupxei.com,44.86666666666667,5.450666666666666
xibeocicjei.kz,51.857142857142854,4.435714285714286
nukeiratubeo.com,46.875,5.490625
keogeililmoq.kz,47.8,4.501333333333333
jupkoqteowan.kz,48.86666666666667,3.722
leifikafriman.kz,51.875,4.1656249999999995
juqoqjipadaf.kz,47.86666666666667,2.8340000000000005
nirveahuxde.com,50.86666666666667,4.822000000000001
fichiruraru.com,46.8,5.092666666666667
kalatkughikei.kz,57.875,3.5256250000000002
jawangoqkug.kz,49.857142857142854,3.0
rukafbeveimaf.com,52.8235294117647,4.805294117647058
fowoqcupnuceo.com,52.88235294117647,5.385294117647059
ganiqiqupfil.com,47.8125,4.124375
safuphaveomic.kz,56.875,4.266249999999999
kipatkovomea.com,50.8125,5.5875
xokvojeoluno.com,53.875,5.441249999999999
woqsuxneaha.com,51.86666666666667,4.818666666666667
neomupjozsa.kz,48.857142857142854,4.292142857142857
healeipeakaf.kz,49.8,4.255333333333334
xoklatqoqxo.com,53.8,4.8373333333333335
ceiheojaxug.com,51.86666666666667,5.158
filhokqokisi.kz,52.8,3.656
cirjeidafgei.kz,48.8,4.126666666666667
roduheiwicir.kz,47.86666666666667,4.325999999999999
ceanokgeipoz.kz,53.86666666666667,4.651333333333332
tugnuwiveali.kz,48.86666666666667,3.5286666666666666
filmupbanjei.com,48.875,4.64375
lisineameava.kz,50.8,4.798666666666666
fagicpuxpea.kz,50.857142857142854,3.492857142857143
ceakirhobei.kz,48.857142857142854,4.647142857142856
xapuqubumipu.com,48.8125,3.875
fagupjupwovil.com,52.8235294117647,3.9535294117647055
xoqficcirbi.com,52.86666666666667,4.986666666666666
nurilcafvei.com,48.86666666666667,5.152
qirxinileobat.com,53.88235294117647,5.203529411764706
deokafdugfo.kz,44.857142857142854,3.7128571428571426
peahatnivil.com,48.86666666666667,5.1080000000000005
tugfociccaf.com,52.86666666666667,5.376666666666667
tipozwupkawa.kz,50.86666666666667,3.267333333333333
laqafvatsux.kz,53.857142857142854,3.1078571428571427
qoqmanhuxqic.kz,55.86666666666667,3.2806666666666673
vuxpeakofeo.kz,48.857142857142854,3.920714285714286
kapansumafpoz.com,57.88235294117647,4.853529411764706
